0	1940
1	1008
2	927
3	665
4	665
5	665
6	579
7	541
8	520
9	487
10	487
11	433
12	427
13	427
14	427
15	418
16	417
17	417
18	406
19	406
20	406
21	406
22	406
23	406
24	402
25	397
26	397
27	397
28	397
29	397
30	392
31	392
32	392
33	389
34	389
35	389
36	389
37	389
38	389
39	389
40	389
41	389
42	389
43	388
44	387
45	387
46	387
47	387
48	385
49	385
50	385
51	385
52	383
53	382
54	382
55	382
56	378
57	378
58	378
59	377
60	377
61	377
62	377
63	376
64	376
65	376
66	376
67	376
68	375
69	375
70	375
71	375
72	375
73	375
74	375
75	375
76	375
77	375
78	375
79	375
80	375
81	375
82	375
83	375
84	375
85	375
86	375
87	375
88	375
89	375
90	375
91	375
92	375
93	375
94	375
95	375
96	375
97	375
98	375
99	375
100	375
