0	1940,00
1	1926,75
2	1816,13
3	1577,63
4	1363,52
5	1136,90
6	999,43
7	892,24
8	846,82
9	829,28
10	774,38
11	783,65
12	728,10
13	694,21
14	678,68
15	614,15
16	599,68
17	587,60
18	555,11
19	565,56
20	542,38
21	544,93
22	518,88
23	526,46
24	504,30
25	509,13
26	509,32
27	515,73
28	488,19
29	513,80
30	474,68
31	459,48
32	466,94
33	457,40
34	446,54
35	461,04
36	459,73
37	441,97
38	432,92
39	462,15
40	444,47
41	440,68
42	440,36
43	447,91
44	434,88
45	446,27
46	440,15
47	441,69
48	457,18
49	451,47
50	435,38
51	462,49
52	472,43
53	454,66
54	467,27
55	468,30
56	454,64
57	483,61
58	462,62
59	451,84
60	451,93
61	469,39
62	467,30
63	435,69
64	444,38
65	454,34
66	467,05
67	485,51
68	453,11
69	471,17
70	461,73
71	479,23
72	462,74
73	476,33
74	472,31
75	507,89
76	473,87
77	473,87
78	470,24
79	507,58
80	485,10
81	467,23
82	469,97
83	499,42
84	448,00
85	503,37
86	464,85
87	471,02
88	469,08
89	464,29
90	459,13
91	463,88
92	467,68
93	461,08
94	459,52
95	457,36
96	470,08
97	471,27
98	454,93
99	496,69
100	481,29
